LegLength	ArmLength	ArmCirc
40.4	39.6	34
40.1	43.4	39
31.2	35.5	29.3
NaN	38	29
38.8	35.5	28.1
40	39.4	32.2
37.5	40.6	29
36.8	40.6	31.7
35.6	34.2	33.5
42.5	38	30
38.2	39.2	28.1
38.4	39	46.9
39.7	37.2	29.6
40.3	37	27
39.6	36	31.2
35.8	39	41
35.6	34.5	27.6
28	35.4	29.6
32.1	35.9	26.6
NaN	37.3	36.2
42	40.2	37
41.8	40	31.8
40.6	38.2	32.1
34.7	34.5	30.4
36.8	37.8	31.5
39.3	39	34.6
33	35.2	29.5
34.3	34	25.4
37.3	35	37.3
47	42.6	33.4
36	35.3	25.9
37	33	26
NaN	30	47.3
36.3	33.5	36.8
42	39.8	33
39	37	26.4
38.3	38.5	31.2
38	40.4	39.7
45.4	42	33
39.1	36	24.5
35.5	35.8	29.5
45.7	40.5	30.7
41.9	38	36.2
35	33.5	29.2
40.6	40.4	35.4
33	36.2	48.2
32.7	34	26.5
37.8	35.6	29.5
38	36.3	33
42.9	38.2	29.8
35.6	35.5	33.6
45.1	38.3	42.4
33.4	34	26.2
37.6	34.5	35.5
40.9	39	29.2
40.1	37.3	34.6
45.6	42.8	36.7
44.4	39.7	34.4
43.4	38.8	33
40.7	39.9	33.8
33.6	38	31.5
42.5	35.5	32
31.8	35.2	33.9
41.3	40.2	32.8
37.7	37.8	28
37.1	38.5	43
44.6	43	30.1
38.3	35.2	28.3
32.9	33.8	38.4
34.4	31.3	24.5
35.6	36.1	24.7
42	38.5	30.5
43.4	37	27.6
37.2	35.8	32.5
35.6	35.8	36.9
38	38.2	36.5
43.5	40.7	35.5
35.5	30.7	25.2
32	36	29.7
39.2	40	37
40.7	37.8	30.2
39.8	40.3	35.4
36.3	42	42.2
32	37	48
34.9	39	50.4
47	43.2	34.2
37.6	38.2	39.5
43.6	39.1	30.4
29	35	34.3
32.3	34.7	27.5
42	36.9	32.5
39.4	38.3	33.8
41.3	39.6	32.2
32.6	34.3	26.4
33.4	36	36
35	32.5	27.4
45.1	39	41.3
34	33.5	31.4
40.6	38	34.8
39.6	37.7	24.2
42	42	34.5
42.1	37.5	38.4
36.5	39.8	34
37	34	26.2
37.9	34.5	33.9
45	36.5	27.9
36.6	36.6	29.5
40.7	40	36.4
33.5	37	40.8
37	36.4	36.1
38.2	40.8	39.5
33.5	38.2	36
37	39	39.2
36.9	38	36.6
43.9	33.3	24
43.8	37.4	28.8
43.5	39	29.9
36.3	34.2	28.4
41.5	40.5	31.2
32	41	38.1
37.7	33.1	29
32	34.8	40.8
43	43	37.4
33.3	33.2	25.5
45	44.4	34.7
37.6	40.8	27.8
41.5	39.7	36.7
40	38.3	28.6
34.3	37	35.2
31.7	40	44.5
40.2	39.2	33.3
31	35.5	27.2
40.6	35.2	25
35.2	35.3	30.6
37.4	37	41.6
40.8	38	29.9
46.6	41.8	31
36.4	39	40.8
43	42.5	33.5
39.8	41	34.2
41.5	42.1	34.9
42	39.7	33.1
39.9	36.6	33
33.4	33.4	28.5
44.5	36.2	26.4
31.5	38	46.4
41.1	37.8	32.7
36.5	34	27.9
41.2	41.6	37.8
44.1	39.6	34
39.3	37.3	29.6
39.4	36	33.4
