LegLength	ArmLength	ArmCirc
39.2	38	31
42	41	30.8
47.6	40.2	34.1
38.6	41.5	32.8
NaN	35.5	32.6
42	38.5	38.2
37.5	40.2	45.7
43	39.2	40.5
37.5	39	32.2
34.8	40.6	34.4
48.7	45.5	41.9
38	34	28
41.8	41	32.9
37.2	35.2	29
37.3	37.6	38.2
42	37.7	32.1
35	32.5	27
29.3	35	30.2
NaN	38.5	33.5
34.2	34.8	28
41.7	39.4	31.7
37.8	37.4	36
36.2	37	27.3
41.6	39.5	26.6
37.5	39.1	47.5
35.5	36.7	37.6
34.2	35.1	31.8
39.3	40.2	38.7
37.7	34	22.8
36.4	39	37.7
40.2	45	41.7
45.1	42	35.5
38.5	39.7	35.5
41.8	38.3	28.4
39.5	35	28.8
35.1	34	29
38.1	36.2	27.6
40	40.9	43.3
38	34	31.2
36	35.5	30.1
40.2	40.7	32.1
41.2	37	29.6
36.8	33.6	23.5
48.2	42.6	40.3
28.8	34	32.4
46.6	43.5	38.9
37.3	35.7	27.1
32.9	35.4	30.3
41.4	40.5	28.5
41.6	41.7	34.3
34.6	37	35.6
36	34.2	32.6
32.5	37.5	32
39.3	37.3	34
36.2	36.5	38.4
34	33.5	30.4
39	33.3	29.5
42.6	38.8	33.5
43.1	37.7	31.5
37.7	37.8	31.9
40	38.6	28
40.6	36.4	29.5
38	38	36.6
43	41	37.2
39.5	41.8	33.6
36.8	41.5	39.5
40.5	38	32.7
42.6	43.2	36.4
38.4	36.2	25.5
35.8	35.7	30.8
33.8	36.1	33.3
39.2	33	25.9
36.4	33.8	28.7
36.5	37.5	32.4
38.2	39	32.5
31.9	34	36
37.7	34	55.1
42.2	37.7	30.9
42	38.6	31
34.3	37	23.3
38.3	36.5	26.5
33.6	35	31.5
45	38	35
37.3	38.3	33
46	39	45
35.6	42.4	40.6
36.3	35	34.4
25	34.5	33.5
37.5	38.5	35.3
35.7	36.7	30.4
38.4	37	27
35.5	36	40.4
42.6	39.7	31.7
36.9	36.4	29.3
39.8	37.5	29.7
33.5	35	28.5
40	38	32.7
39.5	34.1	29.3
36.6	33.2	31.1
40.2	38.2	29.9
40.3	38	27.8
42.5	38.7	35.5
39.3	34.1	26.6
33	39	43.8
47.7	40.4	32.6
38.3	37	29.2
37.8	37.7	33.1
32.4	34.1	34.2
44.8	40	34.3
41.2	36.5	31.2
40.5	36	28.2
42.2	37.3	23.6
37.3	36.4	30.4
45.6	40	40.6
33.6	35.5	29
38	38.6	34
44.2	41	37.7
38.2	39	40.4
36.3	37	26.4
36.5	34.5	27
38.5	36	36.1
40.7	38	27.7
36.8	38.5	37.5
33.4	38.4	36.1
34.6	35.3	53.1
43.5	37	37
39	36	29.2
37	38.2	33
41.2	35	28.4
35.2	33	27.9
35	35.4	37
36.4	36.5	31.6
36.8	34.3	26.2
39.1	36	37.9
42.3	39.5	33.5
37.6	35.1	28.7
43.5	41.2	32.7
34.6	36.2	28.5
32.8	35.7	35.9
NaN	34	33.3
38.7	38.6	36
39.8	37.5	29.4
36.6	37.5	25.5
43.9	41.8	30.5
39	41	36.7
32.3	35	29
41	40.3	34
37.1	35.7	31.7
34.3	38.5	34.4
44.8	40	29
34	31.8	28.4
38.9	35.4	25.4
37.2	43	41.7
39.3	35.3	29.2
34.3	37.5	36.5
41.8	39	29
38.2	35.8	28.1
37	32	NaN
35.9	36.8	35.4
42.4	41.5	32.4
39.2	37.8	38.8
41.6	37.2	33.1
36.5	36.6	32.5
40.3	37.5	26.5
38.4	35	26.5
38.5	37.6	36.8
32.7	34	34.5
38	42.5	40.8
41.2	39.5	32
45.4	37.3	39.3
46.2	39.8	31.2
38.2	37	38.3
33.2	32.5	29.8
37.8	33.6	27.2
39.7	38.5	28.6
37.8	36.2	27.1
41.1	37.2	32.6
45	41.4	29.1
37.5	38	33.2
43.7	42.3	32.4
39.6	40.5	38.1
38.9	39.5	32.6
41.4	37.5	22.7
42	36	26.7
43	40.3	31.5
45.5	40	36
35.1	35.5	24.6
45.1	43	45.5
43.4	38	28.2
27.5	33.6	33.5
39.4	37.8	33.3
34.1	41.8	37.8
42.6	42.7	37.5
37.6	35.9	33.5
34.6	36.6	31.6
37.3	34.5	31.1
41.9	42.9	40.4
42.4	40.6	33
40.3	34.5	26.2
34.6	33	34.7
39	39.5	33
38.2	33.3	26.6
33.3	38.5	37
41.1	37	27.8
36.8	36.5	34
36.5	38.5	33.5
38.2	39.5	33
40.6	40.6	36
47.8	42.2	38.9
37.9	36.2	31.3
40.4	38	28.6
42.4	35.6	32.2
36.4	35.6	50.4
34	35.5	36
31.9	29.6	26
40	36.8	30.9
40.4	38.4	31.7
40.1	37	44.8
37.7	36.2	21.6
32.8	33	32.7
34.1	32.5	27.9
45	38.4	26.2
40.4	38.9	30.9
24.8	32.4	36.1
36.7	37	35.2
39.5	38	36.9
40.4	39.5	31.6
35.1	36.4	32.2
38	35.7	32
35	33.3	34.7
40.1	39.4	33
40.2	41.5	39.6
37	35.5	31.7
43.1	39	35.2
45.5	41.3	31.6
37.7	33.7	24.1
43	44.7	33.6
36	38.3	39.7
30.1	38	39.6
45.6	42	34
33.8	32.5	25.1
37.3	36.4	34
40.9	36.5	40.2
33.5	38	38.3
43.4	41.7	29.5
35.5	36.5	31
41.5	41	36.7
42.3	38.8	30.4
36.4	34.2	30.5
41	41	31.6
41	39	43.2
38.4	40	40
34	36.5	34.9
35.6	37.4	38.2
39.5	36.8	24.1
39.4	37.2	35.6
39.5	34	22.8
40.4	38.6	29.5
31.2	33	31.4
40	35	29.9
37	37	32.9
36.3	35.6	29.8
35.6	41	38.7
35.3	32	26.2
36.2	37.8	34
38	42.5	35.5
38.4	38.1	35.5
40.4	37.5	35
38	33.5	31.4
40.6	39.8	31.4
34.7	37.5	34.7
35.4	35.5	29.5
39.3	36.4	34
34.6	35	36.3
40.9	37.1	34
38.3	34	20.2
39.6	38.6	33.7
37.2	37	34.6
35.3	34.2	31.3
33.8	40.5	39.8
NaN	39	40
41.5	40.9	37.7
29.1	41.7	46.9
39.9	37.9	35.1
45.4	40	31.3
40.7	37.7	36
30.3	34.1	30.8
40.6	36.5	30.4
34.8	32.4	28.9
37	38.3	28.8
28.4	35	28.8
36.2	34.6	23.1
37.6	34.4	27.2
31.5	35	34
34.2	35	27.9
37.2	35	31.1
39.4	36.2	28.1
30	33	23.3
34.5	37	37
40.6	38.3	28.5
34.5	38	28
33.5	31.5	24.4
32	38.5	29.7
35.2	34.5	27.2
43.9	42	36
38.5	36.5	30.6
36.5	35	30.8
37.5	33.4	26.8
30.9	35.6	33.7
42.6	43.5	35.5
34	35.5	28.6
43.3	41.6	45.2
37	33	24.2
42.9	39	31.8
39.6	40	32.7
39.3	35.7	27.8
36.8	39	37.7
40.6	41.2	35.4
35.6	39.7	30.7
34.5	34.2	25.2
39.3	36.5	34.5
37.3	41	32.9
39	36	28.5
41.5	38.4	31.1
34.5	40.4	44.7
31.5	31.5	33.2
42.7	40.4	34.1
41.9	35.5	30.2
40	33.7	30.5
37.4	38.7	33.7
44.8	42	30.9
35.5	33.8	28.8
36.5	36.5	31.8
37.6	35.4	29.8
33	32.6	29
27	34	29.5
40.9	35.4	24.6
40	35	31.1
36	35.5	29.6
33.8	33.7	36.3
38.2	37.7	30.8
33.6	33.4	30.8
33.6	37.5	29.6
48	42	32
43	42	33.8
35.1	31.7	30
39.5	37.7	33.8
32	33.2	28.7
37.7	39	32.5
39.5	38	35.5
41.3	38	33.2
40.3	39	35.3
41.3	39.5	35.7
38	36	29
43.6	42.4	31.3
NaN	41	45.3
40.4	40	33.4
38.2	37.5	42.4
38.3	37.7	35.9
44.6	44	37.9
33.1	33	31
40.4	40	29.3
36.1	39	32.2
47.9	42	32.3
34.4	37.2	24.1
39	36	31
43.6	40	41
39	37.5	36.1
39.2	39.2	29
35.8	39	31.4
37.6	36.5	31.9
32.1	35.7	33.7
37.5	38	35.1
39.4	41.5	37
45	37	32.2
42.1	37.8	34.6
37.6	34.7	41.2
44.3	38.7	32.9
39.8	37	31.7
41.5	40.5	28
37.5	39.2	41.5
36.3	35.1	32.3
46.1	43.5	33.7
44.6	42	36.6
34	34	31
37.5	35.2	32.5
39	37	33.5
40.5	39.8	28.6
40.8	40.4	40
38.5	40	38.6
38.3	34.3	29.9
33	34	31.4
37	41.7	44
37.7	36	33.1
38.5	34	31.6
35.8	38.5	33.7
43	38	27.6
46.4	41	28.9
39.5	35.8	28.9
35.5	38.5	42.2
31.2	35.4	32.5
38.1	36.8	32
35.7	37	31.6
35	39	41
39.2	37.3	32
33.8	33.6	29.9
37.8	41.5	37.3
34	37.2	34.1
38.8	41.3	34.7
44.8	44.2	33.5
49	39.4	38.7
39.2	37	34.4
38.6	38	30.4
36.2	38.5	36.5
37.2	39	39.5
44.4	40.5	32.5
42.6	38	29.6
