LegLength	ArmLength	ArmCirc
34.2	37.6	45.2
32.4	38.2	34.1
33.3	34.1	33.2
43.6	43	31
43.5	40	32.8
36.5	38.9	40.5
34.3	32.6	30.7
35	36	35.3
40	37	29.9
37	34	37.8
40.5	37	31.2
34	39	34
37.1	36.6	21.9
39	36.4	32
41	41.7	32.6
39.4	39	31.1
41	39.2	37.2
40.4	38.5	36.6
40.1	36.9	30.6
41.7	40	29
36.5	38.9	42
37.6	35.2	28.2
38.5	36.9	30.6
29.2	30	24.4
35.7	41	32.1
NaN	40.4	35.5
38.4	37.2	32.6
44.2	42.2	34.2
44.2	41	30.9
44	43	36.2
39.9	37.7	32.1
37.9	36.5	27.3
43.7	41.5	32
35.9	40	33.5
39.1	36.3	26.8
35.8	37.4	31.3
43.3	39.3	44.7
39.8	35	31
40.5	38.5	30.3
38.6	42	40.9
35.6	38.4	31
35.9	32.7	31.1
33	35.5	31.4
45.5	43.5	40
37	35.5	26.5
42.7	39.8	36.9
40.7	37.5	30.6
29	33.4	24.7
34.5	37.6	34.6
39.8	41.5	36
42.8	35.7	33.1
35.4	35.8	33.3
NaN	39.2	27.5
39.8	36	32.5
38.8	40.5	28.9
40.2	38.2	27.3
38.3	36.1	30
41.1	39	NaN
35.5	35	33.1
39.3	39.2	36.4
37	33.5	26.8
35.5	34.4	26
37.4	38.5	33.1
30	38	41.2
39.7	36.5	23.1
39.6	38.5	31.4
38	38	32.6
46.5	38.7	33.9
44.8	39.7	37
33.5	32	23.5
42.8	40	29.1
41.1	38.5	36
40.8	36	33.5
36	36	32.6
37.5	34	32.5
36.2	35	24.5
35.5	34.6	29.6
NaN	34.5	25.7
28.6	36.5	28
40	40	28.9
33.5	36.8	34.2
39	36	36.2
39.5	39.2	41.5
35.2	35.2	39.4
44.3	39.8	41
32	33.6	29.4
34	35	35
40.4	38.6	32.7
34.2	34.2	24.9
40.4	35.5	29.9
33.5	32.4	25.9
41.2	38.2	27
40.2	38	30.3
29.9	36.6	30.9
38.6	38.3	33.1
41.3	36.7	36.7
35	37	33.8
32.3	37	30.3
35	36.8	32.9
35.7	34.3	28.5
37	33.9	33.8
40.6	38.9	34.7
42.1	38.9	34.7
45.4	41.4	33.8
41	38	35.9
39.7	36	30.7
35.6	36.4	29.2
48	40.9	29.7
38	39	28.5
36.1	40.5	37.8
41.1	36	28
42.9	39.5	29.2
34.4	39.6	49.9
35.2	39	32.1
39.5	43.2	32.5
40	36.8	26.7
38.6	37.4	29.9
42	40.8	35.3
39.8	40	37.9
35	38.4	36.3
44.1	42.6	41.5
32.8	33.5	31.6
36.5	33.3	33
38.7	37.7	37.9
46.2	45.7	50.4
40	34.9	33.8
41.7	40	45.8
39.5	39	28.5
35.9	37.8	31.9
37	38	31.4
38.5	39.6	27.2
39	34.2	35.8
39.9	38.5	25.3
33	34	29.5
35.2	34.5	27.6
36.6	36.9	37.2
47	38.5	44.2
44	41.2	33.8
45.8	45.1	36.9
33.1	36	30.9
41	42	46.3
36.5	35	32.1
NaN	38.7	41.6
35.9	40	37.8
