LegLength	ArmLength	ArmCirc
34.1	33.7	34.6
32.8	33.6	39.9
38.7	38.7	42.2
39.2	38.3	32.9
36.6	40.5	32.1
38.4	33.6	28.9
39.2	39.5	31.2
41.8	37.5	29.5
42.6	40.5	38.9
NaN	40	45.8
33.4	37	28.1
31.2	37.9	48.3
46.5	38.5	33.4
41	37.9	33
35.1	35.9	28.3
38	39.3	33.6
32	36	35.9
38.5	36.4	28.3
37.5	35.5	26.4
35	38.4	32.5
36.5	36	23.7
32.3	36	29.4
39.2	34.6	26
36.2	40	45.4
45	40.3	47.9
45.7	42.2	36.4
45.3	37.7	34.7
43.1	40.2	32.7
30.2	31.7	30.4
36.4	35.5	31.3
36.2	34.2	36.1
39.8	35.7	32.6
43	37.8	33.8
42	41	47.8
43.3	39.6	26.7
47	38.7	29
39.3	37.5	34.9
39.8	35.3	25.1
40	38	24.8
41.3	39.5	30.6
32.9	32	26.7
34.3	36.9	37.2
NaN	40	32.3
40	39	26.7
42.2	37.2	23.3
37.3	32.6	24.8
40.6	39.5	35.5
41.5	41.5	29.1
38.4	34	23.5
34.8	40	34.6
45.3	39.4	32
41.4	40.5	29.5
39.6	41	33
43.5	41.3	44.2
47	45	43.1
38.4	38	32.1
36.1	40.4	47.8
44.8	38.2	34.6
36.7	35.6	34.1
36.6	37	31.8
32.1	34	25.2
32.8	34	30
35.2	40	46.6
43.3	36.7	33.2
38	37.4	31.8
34.4	38	31.6
41.4	39	30.4
39.6	38	36.6
31	33.3	30.9
31.1	34.5	28.3
35	35.2	29.5
35.3	36.9	35
34.3	33	32.6
41.5	37	35.4
44.8	41.1	39.4
42.2	40.6	34
34.9	34.2	26.8
34.9	35	25.6
42.2	40	33.9
35.3	38.3	32.1
45.6	41.8	32
34.2	32.6	26.6
40.5	38.7	33.6
39.3	37.1	30.3
40.1	38.4	35.4
33.1	31.3	24.2
33	36.9	26.9
42.6	41.8	37
38.2	33.7	31.9
41	35.4	34.4
35.2	37	35.7
35	37.4	42.2
40.9	40.2	34.5
33.4	38.5	33.2
35.2	33	28
39.5	41.2	26.8
44.9	41.7	34
36.6	34.5	28.3
45	38.4	44.2
36.3	39.5	32.8
39	34.3	24
41.7	39.7	39
36.9	34.6	34.4
45.5	40.1	35
33	35.4	32.6
41	40	30.4
40.1	36.2	34
36.5	35.9	30
38.9	40.5	33.8
41.4	39	31.5
32.5	36.5	29.6
45.7	43.6	40.8
40.3	36.6	30
28.7	36	38.8
42.1	37	30.6
35	38	35.3
44.4	42.5	43.7
39.6	38.5	29.6
38	36.5	27
31.9	36	32.5
40.1	39.8	31.5
40.4	39.6	31.5
35	38.3	34.1
41.7	38.6	34
42.5	39.6	30.2
27.3	36.4	38.9
39.1	41	37.1
36	34.7	28.7
37.5	34.5	41.3
45	42.2	36.6
39.6	35.6	29.5
38.9	34.5	30.8
42.3	37.2	32.6
35.5	37.8	30.4
46	39.9	25.6
37.5	34.5	30.9
36.3	37	34
36	35.7	30.4
35.8	36.4	30.3
39.8	41.3	35.9
39.6	36.6	32
33	38	38.8
40.5	41	35.6
42.5	41.4	36.5
39.6	37.3	28.7
39.3	37.5	40.6
41	41	32.6
36	35	31.3
36.7	35.6	29.7
43.5	40	31.4
42.2	37.5	24.7
46.2	43.8	31.5
41.1	38	33.6
44.5	39	32.3
37.9	NaN	55.9
35.7	34.5	28
42	42.5	27.7
33.5	35.4	35.3
43.3	38.8	27.8
36.1	34	29.5
37.7	35	31.4
43.5	40	40.1
41.1	41.6	34.1
42.1	40	39.3
41.8	39.9	29.4
38.9	40	38.6
36	38	44
39.2	35	30.1
37.5	33.5	30.7
36	35	36
37.5	36.2	29.1
31.8	34.5	30.8
42.3	35.6	30.4
31.2	37.9	34.5
35.5	35.8	32.3
46.2	40	30.2
46.5	40.7	29.5
35.4	36	29
41.4	36.2	28.4
35	34.6	26.2
39.1	40.2	35.3
33.5	35	31.6
35	40.3	48.2
36.9	35.2	33.2
NaN	37.8	35
32.2	36.5	28
40.5	36.8	28.6
38.5	36.7	32.3
47	40.5	37.9
36.7	34.3	27.7
40.3	37.4	32.2
38.5	36.5	30
39.8	34.7	24.3
44.5	43.5	34.5
43.6	38	30.3
38.9	37.9	36.2
39	36.3	28.3
NaN	42	43.5
36.6	36.5	28.1
39.3	33.2	28.7
38.1	38	30.8
42.8	37	36.5
41.5	40.5	34
31.9	38.6	41.1
40.8	39.7	33.7
NaN	40.6	37.4
33	33.3	22.7
40	36.5	26.8
39.2	38.6	30.5
32.8	33.4	34.3
31.3	30.7	30
40.2	40	38.8
42.8	41	33
37.3	36.3	31.6
42.6	39.4	35.1
43.8	36.5	26.6
37.2	39.5	38
40.4	37.4	26.9
36.7	33.7	31.5
45.7	42	37.3
39.1	38.2	34.1
39.5	36.6	33
36.3	40.4	36
42	38	37.7
37.8	34.5	27.4
32.5	35.5	28.6
36.3	33.3	25.9
38.7	37.5	35.3
45.1	40	27.9
37	36.4	35.5
32.3	35	29.5
29	33.2	31.5
NaN	37.2	34.1
35.4	39.9	33.2
35.2	36	34
33.2	34	29.7
41.7	39.5	34.1
35.5	38.8	34.1
35.6	36.8	30.6
38	39	32.1
35	36.6	31.1
40.2	36.6	39.2
34.6	38.5	30.2
36.2	34	40.9
38.8	36.3	34.7
40	39	33.2
35.6	35.2	37.8
37.9	37	31.7
37	35	27.6
39.8	37.2	40
43.3	41	26
43.3	39	33.5
38.1	38	29.5
34.6	38	29.6
37.2	35.5	31.9
41.7	42	31.2
32.1	33	29.1
41.9	38.5	25.7
33.6	33.2	28.3
37.5	33.2	27.6
33.3	39.1	34
42.9	42	30.2
45	36.5	35.5
32	37.3	37.1
37.5	35.5	26.8
41.4	45.2	40
38	39	44.6
38.6	38.5	33.4
48	43	48.1
36.6	36.4	25
38	42.4	40
41.4	39.6	34.4
41	41.4	35.3
39.5	38.6	32
41.9	40.7	39.1
44.1	40.5	32.5
33.2	38.5	32.6
41.2	40.5	38.5
35.4	36.6	29.5
42.4	36	32.4
41.8	40.5	33.5
41.2	38.6	33.7
46.6	40.2	42.4
36.8	37	43.9
43.8	39.3	28.1
37.2	33.5	25.1
33.5	33.6	26.2
41.1	38	34.7
32.8	36	31.4
32.4	31.2	27.9
41.1	36.9	30.4
41.8	36.8	31
40.9	38.3	29.2
43.9	41.2	39
25	32	39.9
37.9	39.9	36.4
37.3	39	31.7
36.8	36.2	31.3
36.8	36	34
41.8	38	44.2
36.4	37.3	34.4
33.2	35	28.8
39.5	35.4	26.5
41.8	38.1	40.1
36.7	39.2	40.2
31.3	32	29.3
37.5	36	29.4
40.9	42.4	37.2
40.7	35	31.2
35.2	40.1	36.2
35.4	35.4	32
33.2	33	30
41	36.5	26.2
43	39.5	31.5
37	34.8	33.9
37.5	35.5	30.2
35.8	36	37.5
33.9	34.2	28.3
36.9	37	31.5
37.6	40.4	39
34.7	35.7	34.2
42	39.2	27.4
37.9	36.6	34.4
34.3	37.3	36.7
