LegLength	ArmLength	ArmCirc
32.5	35	29
32.1	34.8	30.2
38.1	44.7	42.6
40.7	38	36.9
39.6	37.2	33.6
44.1	39.4	35.7
42.2	37.7	31.3
39.5	41.6	46.4
38.5	36.3	29.3
42.4	35	29.1
37	34	32.2
44	39.6	32.8
41	42	33.6
40	37.5	30.7
34.2	34.8	36
38.2	40.8	37
28.8	35.9	40.5
33.8	36	27.9
37	34.5	25.5
43	38	32.6
41.5	40	35
38	36	33.1
36.5	36	37.2
36.5	38	37
33.7	35.7	37.7
31.8	35	35.3
35.7	39.2	38.5
35.2	34	23.1
42.1	38.2	35.7
37.8	34.5	37.9
42.8	38	33.3
37.5	35	27.4
39.6	35.8	28
38	41	37.5
38.5	40	38.7
34.6	37.7	36.2
39.3	35.4	34.6
41.5	37	25.2
38.2	35.2	30.3
41.6	37.2	34.6
37.1	37.3	42.1
37	33.3	34
40.5	37.4	28.3
38.7	38	29.9
45	40.5	35
40.7	38.8	33.9
35	33.4	24.9
32.7	33.4	24.2
37.1	41.5	42.8
38	36	29.6
30.7	31.9	30.7
41.1	45.5	37
31.5	32.3	34.1
36.6	39	32.4
34.3	33	28.1
36.5	39.2	36.4
37.5	34	29
40.2	38	35.4
40.1	34.6	20.4
40.1	39.5	33.7
39.5	39	39
43.6	38.4	30
39	38	28.5
35.8	38.7	36.5
33	39.5	47
41	37.2	32.9
24.6	31.6	33.4
39	36	31.9
40.4	37.3	29.5
38.8	39	40.6
44.9	37.2	32.4
50.2	45.2	34.1
33	33.4	30.6
42	35.7	29.5
38	35.6	35.2
43.2	40.5	29.4
40.4	34.5	26.4
40.7	39	36
38	35.6	32.2
44.3	40.3	31.6
36.2	33	38.1
43.5	41	34.8
38.6	38.5	36.8
34	32.5	24.5
37.4	36	31.7
41.5	36.2	33.5
38.3	36.5	35.3
32.4	32	30.5
48.6	42	30
37.5	39.1	37.4
38	34.7	27.5
33.2	36.8	34.7
42	37.3	27.2
40.7	41.2	27.9
40.9	35.4	31.8
36	36.1	33
37.8	41	44.2
34	31.5	32.4
44	39.5	36.8
37	38	27.6
37.3	38.3	35.8
39.2	34.7	24
46.2	39.7	40.7
34.2	35	32.9
38.9	36.5	27.8
34.2	31.4	25
41.8	38.6	30.6
34.3	36.6	33.3
41.2	39	31.7
39.6	41.5	32.2
34	38.4	36
38.6	36.6	41.5
38.4	40.9	34.4
39.2	35	25.2
30.8	34.2	36
36.6	36	31.8
44.6	39.4	30.9
35.6	36.2	39
41.6	39.5	34.9
37.9	38.2	29.9
40.5	38.8	39
NaN	35	34.5
40	38	41.3
37.2	36	28.3
44.5	41.6	42.5
33.8	33	28.2
38	35	32.5
38	34	26.2
35.5	36.2	31.1
35	36	31
38.2	37.2	29.2
38.6	40.6	47.4
34.6	33	29
34.9	37.3	40
36	37	33.2
36	37	27.1
41.5	42.4	31.7
38.2	35.6	28.6
39.8	39.6	36.9
39.7	38.2	32.9
30.8	38.5	38.2
33.5	35.5	25.5
33.5	36	25.5
36.6	35	28.1
38.2	37.3	32.4
37.7	41.7	38.2
36.9	34.7	32
41.4	38.4	34.4
39	37.9	38.6
40.5	37.2	28.2
35.7	34	26
40.2	39	34.6
42.8	38.4	32.6
40.5	39.3	36.7
36.4	37	30.2
34.3	33.5	29.2
39.3	41.5	29.5
38.6	34.5	25.9
37.9	34	24.3
44	38.2	31.1
40.6	38.4	36.4
41.8	37	32
38.4	35	27.1
38.8	34.8	31.5
42	41.5	39.7
40.6	36.7	28.7
44.5	41.3	34.2
34	34.8	29.3
37.1	36.8	30.1
43.9	38	32.8
36.8	36.2	32.2
39.8	38.9	31.1
36.6	38	35.6
40.5	35	27.1
37	33.6	27
39.3	33.8	22.5
38.1	35	32.3
43	39.2	30.5
39.4	38	32.1
36	35.3	30.9
33.8	35.5	28.3
38	40.5	26.7
38.7	38	35.3
37	36	32.9
38	38	30.3
38	35.1	34
40.5	38.5	25
34.8	36.4	34.1
32.7	34	33.6
44.1	43	41.7
42.7	39.9	33.6
35.2	36.5	34.1
39.3	35.7	34.2
31.4	30.5	31.1
38.6	37	36.7
42.3	38.6	35.6
33	33.4	33.8
27.3	38.1	40.7
39.2	35.3	33.2
38.3	35.8	29.6
39.6	40	30.9
46.2	40.9	42.8
39.2	40	37.3
35.2	36.3	27.5
39.4	34.4	34.5
39.2	39.7	35.5
38.1	35	21.7
41.2	38.1	28.6
45.9	41	39.1
25.8	37.8	36.4
42.6	41	30.6
38.4	41.6	46.1
32.7	35.2	32.6
34.4	29.5	27
33	37	29.8
39.7	35.6	29.5
40.4	39	29.2
38.6	38.9	36
34.9	35	28.3
31.9	36.8	34
33.5	38	35.2
42.7	42.6	40.5
44	40.4	47.8
30.3	33.2	39.5
40.4	36.5	25.5
33.9	33.3	26.5
39.5	35.4	33.2
43.2	41.5	35.1
30	32.2	29.1
35.5	34.8	28.5
35	36	34.2
40	33.7	26.4
41.5	36.8	34.2
33	35.5	33.4
39.6	34.5	27.8
37.1	39	33.8
30.7	33.5	29
36.9	32.9	23.4
35.6	34	28.6
34.3	36.2	30.4
43.1	41.3	37.8
38	42	41.1
36.3	37	30.2
32	38	36.8
34.2	36.3	24.5
40.2	40.5	26.1
39.1	38.1	41
37.7	35.8	33
36.8	34.8	35.4
42.1	39.1	32
34.6	32.8	29.9
44.2	42	34.4
36.9	37	29.2
35.2	35.6	28.2
38.5	35	28.2
37.5	37.5	32.5
44.6	40.9	35.7
34.8	37.8	29.7
41.1	42	36.5
41.8	39.7	28
32.6	35.5	31.2
43	42.8	32.2
42	39.5	35.5
40.8	43	33.7
40.7	36	31.4
39.5	39.6	29.8
42.5	37.4	40
31.4	38	33.2
36.6	39	36.1
41.2	42	29.4
38.7	36.2	28
37	40.3	37.5
30.6	32	22.2
36	35.2	32
44.2	38.5	42
47.1	39.6	24.5
46	38.3	30.3
42.5	41	29.8
34	32.3	27
28.5	34.8	35.2
34.9	35.2	32.1
35.2	38.3	35.3
28.2	34.8	31.1
32.9	34.2	34.2
33.7	34	27.7
35.3	38	35.6
30	34.8	26.6
39.6	41.6	33.5
35	33	20.2
38.8	41.7	40.2
38.5	34.7	32.5
NaN	37.2	48.8
40	36	33.2
38.2	36.9	32.2
40	36	29.4
38.1	38	25.1
40.8	37	32.5
39.4	38.4	32.1
39	37	34.3
38	36.2	34.8
44.1	37.3	33
41.1	38.5	30.8
39.7	34.2	29
36.8	34.8	33.2
36.6	40.1	33.8
38.7	36.5	31.2
43.4	41	35.8
43.3	38.3	34.7
33	33.6	25.5
32.1	36.9	35.4
43	39.4	36.6
38.7	38.7	29.2
32	31.2	32
35	31.9	26
32	37	34.9
37.5	38.8	36.6
36	35.7	35.3
42.5	40.2	33.9
37.6	37	29.9
42.2	39.2	33.2
39.6	39	30.8
36.5	36	30.6
42.6	40.5	31.9
34.6	36	34.8
42.6	41.4	33
44.8	43.2	44.7
40.3	35.1	29.5
36.5	35.5	20.4
41.7	38	40.8
46.4	44	41
40.1	34.1	31.9
43.8	40	27.5
40.4	36.4	34
42.6	43.4	34.7
38.1	35.8	30.7
38	36.2	28.2
38.4	34.8	31.9
40	40	42.9
40.2	39.2	34.5
41	36.8	31.2
34.4	33	27.1
39.2	39	34.7
42.4	41.5	34.2
45	39.5	42.4
39.2	35.8	36.4
32.6	33	31.2
37.3	36.4	32.4
34.1	36.5	34.2
37.5	36.1	27.4
38.6	39	32.7
43.5	39.2	30.8
42	41.6	36.7
39.5	42	41.5
37.7	36.4	37.8
40	38.1	32.8
39.2	36.3	33
39.8	39.6	37.8
41.3	36.5	24.1
32.5	42	35.9
NaN	38.7	28.1
40.8	40.7	33
40.2	40.5	30.8
33	35	29.6
32.9	36.5	45.2
36	35.7	29.5
43	41.5	33.6
35.2	31.2	22.6
38	32.8	25.5
32.3	33.7	33.8
36	33.5	29.2
41.6	36.6	34.6
37.3	37.5	31
33.9	39.5	43.5
36.9	39.4	40.1
41.3	38.3	30.7
38.2	37.5	32
38.2	39.4	38.5
43	45	48.6
40	34.8	34.2
35.7	38.3	34.5
32.8	32.7	27.2
39.1	40	32
36.1	36	33
47.5	39.7	33.8
38.2	41	39.1
40.3	40.8	31
38.5	36.2	32.6
33	35	27.6
38.7	40.5	28.6
35.8	39.4	37.9
34.5	35	33.6
32.8	40.9	42.4
37.5	35.9	28.5
36.5	38	29.4
40.6	40	36.7
45.3	41.3	30.8
38.1	35.1	31.5
37.5	37.8	35.6
41.4	39.5	29.5
33.2	33.4	31.2
27.6	35	35.3
35.6	38	33.7
37	33.3	24
38	36	30.9
40.5	38	35.9
39.5	36	29.1
36.9	39	42
42.1	40	41
47.7	38.7	40
51.4	41.2	32.4
39.6	34.7	20.7
36.2	33.4	23.7
38.7	36.5	25.7
NaN	41.2	34.6
41.8	37	28.7
37.5	40	31.7
35.2	36.6	31.9
43	42	42.2
31.4	35.7	39.8
34.5	35.2	34
33.2	33.2	26.5
31.5	38	34.6
41.3	39	38
33.8	38.4	35
30.8	35	36.3
36.2	39	38
42.8	37.2	34.5
32.2	35.5	35
36.4	34	31.9
39.6	38.7	28.3
41	38.7	34
38.7	39	31.6
36.7	34.4	27.2
38.5	NaN	NaN
36.4	36	29.5
42.6	37.3	30.1
42.2	38	30.4
33.5	37.5	26.4
39.5	37	27.9
39.5	35	30.7
35	38	42.1
40.5	37.6	31.4
45.6	39.5	44.1
31	36	40.8
42	35.9	31.2
39.1	37.2	35.7
39	34.9	27.9
37.7	35	25.1
38.7	40	29.7
37.2	36	25.6
43	39.5	35.3
39.2	37	30.5
35.5	33.9	33.2
43.2	42.3	41.1
40.4	41.1	38
36.4	34.5	29.1
33.2	36.5	42.8
34	37.3	29.2
35	34	27.5
36.4	35	25
37.3	36	28.1
38	34.5	31.4
49.8	43.5	34.6
37	36.4	27.3
41.2	37	40.1
38.9	36.2	29.2
40.1	40	27.8
37.2	36.6	27.6
36.7	34.6	26.6
39	35.5	30.1
33.8	35	40.6
36.7	36.4	25.8
38.4	37	33
42.5	40.8	37
36	39.3	36.7
55.5	42	42.5
43.6	37.7	35
38.7	38	31
38.2	36.3	28.7
39.3	38.5	30.8
40.4	42	44
41	38.2	34.6
41.2	39.5	28.4
40.2	38.2	33.8
42.5	39.5	34.2
46	40	30.6
37.4	34.5	25.9
38.1	36.9	28.4
31.1	35	40
34.3	34.5	29.1
NaN	40.7	31.2
39.4	39	30
35	35	26.9
36.8	36.4	35
41.6	38.5	29
37.5	42	39.1
37.7	39	36.3
38.5	35.2	27.4
38.3	38.6	48.1
35.8	34	37.4
39.7	38	35.5
43.4	40.5	36.9
36.3	39.6	32.5
38.3	37.2	29.8
36	37	33.9
32.5	35.6	34.8
43.7	38	26.7
38.6	36.9	32.4
33.8	40	37.2
46.8	41.5	27.3
36.6	38.2	39.8
39	35	30.4
37.4	35.4	26.4
43.2	43	39.5
44.6	42.2	33.3
38.4	38.5	33
NaN	39	45.1
38	35	35.7
