LegLength	ArmLength	ArmCirc
36.8	37.5	32.2
39	35.5	34
38	33.8	28.3
49.3	45.7	43.8
35	37.7	31
28.7	36	40.8
32.7	37.2	38.7
42.4	35.6	25
37.7	34.6	33.2
36.6	36.5	28.1
36	35.2	30.9
35.8	36.2	36.7
37	34.1	30
36.6	38	33.8
37.7	34.7	29.6
46	39.4	39.9
46.8	42	39.2
NaN	36	38
34.8	35.1	31
33.7	38.5	48.2
39.2	39.2	36.5
45.4	43.7	32.8
35.5	37.8	43.5
36.8	35.8	30.6
43	40	29.7
44.8	43	37.6
40.9	41.3	34.2
38.7	39.6	38.6
37.7	38	25.8
33.8	35.8	33.1
48.5	42	33.4
35	35.6	36.7
33.3	33.3	27.3
46.1	39	35
43.5	36.5	29.3
39.7	39.6	28.2
43.5	35.5	29.9
37.3	34.6	27
40.5	41.6	37
44	39.7	29.7
43.5	38.4	50.8
45	41.2	37.6
37.8	37.5	33.9
36.3	33.5	32.3
40.2	40.6	40.7
34.5	33.3	35.6
38.6	39	32.3
35.2	34	26.8
37.7	37.8	31.7
35.6	34.5	35.3
40	41	38.1
37.5	40.5	33.2
27.4	32.5	31.7
31.4	34	35
35	34.5	28.5
34	31	25.2
41.4	36	27.7
38	34.5	27.1
37	38.5	29
36	37.4	29.2
37.1	35.6	20.2
39.6	39	36.2
39.2	38	31.8
41.1	37.8	30.7
46	43.4	32
42.9	33.5	29.8
39.7	35.2	24.4
38.4	36.7	29.2
37	36	31.8
36.8	35	30.2
32.9	35	26.2
36.3	35.3	28.2
36	34.7	29
37.3	34.2	35.6
38	38.2	43.7
38.8	34.5	22.2
33.9	33.1	30.4
41.2	39	41.2
37	34.9	31.8
42.8	36.8	25.8
44.3	40.5	27.7
36.5	31.2	29.2
34	35.8	40.1
39.5	37	35.8
38.4	35.9	33.3
43	39.5	36.2
38.9	41	33
37.5	36.7	35.9
45.2	42.8	37
42.5	38.4	27.9
35.8	37.4	25.7
36.7	34.5	29.5
36	37.9	39.4
36.2	35.4	27.2
34.6	34.5	24.5
39	39.6	33.1
37.1	35.7	29.7
42.3	41.1	36.2
36.9	35.9	28.5
41.5	38.2	33.2
37.3	39.4	37.3
38.1	32.4	29.8
36	35.6	27.8
41.3	39.6	32.8
41.3	41	37.6
36.8	37.7	41
32.2	34.2	31.9
35.6	32	31
35.4	34	35.3
31.2	32	30.8
24.3	33.8	37.9
38	38.2	42.1
41.8	38.2	28.9
40.7	38	32
41.1	40	39.1
39.7	38.4	26.3
36.3	36.2	34.2
37	35.5	25.1
45.1	39.8	32
30.1	33.7	33.5
40.2	40.2	34.3
40	38.5	46
38.1	38.2	30
39.3	34.5	28
37.1	34.5	39.4
38.4	34.6	25.8
39	36.7	38.6
42.5	40.4	34
34.2	35.5	29.5
40.5	38	31.6
29.9	34	35
39.1	38	37.2
40.5	38	48.5
36.6	37	34.6
37.2	35.6	30
38	36	32.6
37.2	38.3	34
46.6	42.3	31.4
41.5	37.9	34.9
38.6	36	23.8
38.4	37.5	32.4
41.7	40.2	38.1
39.8	36	30.5
36	36.7	30.7
40.3	38.8	32
38	35.2	30.6
40.6	41.3	34.3
NaN	37.5	25.6
41.4	39	41.7
42.1	41.7	39.4
38.2	36.6	33.6
29.6	31.9	33.7
43.8	39.7	36.5
38.7	35.2	25.6
34.3	37.5	41.7
36.6	41	39.5
36.6	38	38.1
35.6	33.8	28.5
43.5	41	32.5
37.2	37.4	29.8
39.3	35.8	32
43.5	38	37.2
38.3	35.1	25
40.5	39	35
41.6	40.1	38.1
37	35	24.1
38.1	35	27.2
37.7	40.5	32.1
38	37	45
37.6	34.5	33
43.2	36.2	37.7
41.5	39.2	39.7
37.5	38.7	32
39.2	37	27.1
37	36.2	32
37.9	35	31.8
41.2	36	29.2
40	35.5	34.8
40.6	42	36.7
36.5	35	29.7
46.3	43	37.4
41.5	40.4	34.2
39.7	35	38.1
36.4	34.5	32.4
42	37.9	34.4
48	40.4	33.3
36.2	33.3	30
40.5	37.1	36
43	39.5	35.7
41.6	36.4	25.9
38.8	40.9	40.6
35.5	32	23
34.6	33.5	30.2
39.7	36.5	27.8
32.3	34	31.9
36.2	35.3	33.1
33.9	33.5	32.5
36.3	33.8	23
40.3	34.4	29.2
40.5	34.2	29.3
39	42.6	43.3
42	39.2	35.3
25.5	34	30.2
34.2	33.5	29.8
41	39.9	44.1
45.1	39.7	27.1
40.3	39	37.4
37.8	34.5	29.2
32.8	32	28.8
39.8	36	30.3
40.9	37.4	31.8
36.5	33.5	26.3
35.6	35	25.6
24.6	32.7	33.5
35.9	36.5	27.4
38.3	41	35.6
41.9	37.5	32.8
37.8	40	30
43.9	41.5	33.1
33.6	37	33.7
31.4	34	28.9
37.2	37	29.7
39	36.5	33.4
38	38.1	32.5
