LegLength	ArmLength	ArmCirc
37.5	39.3	37
46	39.6	29.9
33.6	37	30.5
40.5	37	34.4
35.3	32.4	26.1
37.9	35.4	25.7
33.1	37.6	34.8
42.8	39	36.5
35.5	34	29.8
43.2	42	32
36.7	34.4	31.3
36.6	35.7	30
43	38.4	30
40	39.2	31.8
45.8	39.4	29.2
37.1	39.4	40.1
40.5	37.7	34.5
37.3	36	28.9
28.6	34.6	43.5
41.2	39.8	29.8
42.7	43.6	32.4
39.5	36	25.6
37	39	35.4
38.2	36	32.5
36.7	38.1	33.7
38.2	37.6	33.4
39.2	37.5	33.7
38.2	39.2	38
34.6	34.9	29.1
31.4	33.8	28.3
36.4	35.1	30
39.3	38.1	30.3
31	34.5	35.4
35.1	36	48.4
40.4	39	35.6
38.8	34.7	27.5
37.8	34	29.8
42.5	40	39.6
35	33.4	27.6
38.5	40.5	47.4
38.9	39.8	33.9
39.8	36	40.5
34.8	33.6	34.9
36.7	33.6	25.7
34.5	35.5	35.8
38.4	35.2	29.2
32.2	32	22
33.3	35.2	32
34.1	34.5	36
34.4	36.5	35.6
37.1	40	30.6
42.3	38.3	35
38.1	35.2	28
36.2	35.3	33
39.1	34.8	27.9
37.7	38	35.7
45.9	37.4	29
35.5	37.8	28.7
36.1	39.7	41.6
39	35.6	35.1
37.5	35.8	36
40	37.5	32
42.3	38.3	31.3
43.8	38.4	31.8
44.4	37.8	30.9
41.1	37.2	30.9
27.1	32	32
42	34.5	32.5
29.4	35.5	31.1
34.8	31.9	24.6
37.7	38.7	33.9
38.4	36.1	31.1
38.7	34.8	33
31.9	37	36.1
38.5	42	38.5
27.2	37	37.2
42	43	34.6
41.5	38.5	26.5
43	41.5	35.6
37.1	35.5	28.6
39.7	43	36.6
33.7	37.3	42.9
40.2	36.5	28
40	40	29
38.2	33.2	26.4
38.4	37.8	37
41.1	38	38.6
36	36	31
36.8	41	39
39.5	37.3	32.2
36.6	35.5	34.1
45.3	41	33
32.2	31.2	34.3
24.3	35.4	30.2
36.8	36.8	30.3
36.7	38.5	33.6
34.2	38.6	39.6
39.7	35	28.4
35.4	34	26.7
28.6	34.5	33
45.4	43.5	39.6
40.2	38	29.6
39.4	38	30.7
47.2	40.1	31.6
37.5	34.7	31.5
42.9	38.7	33.3
34.6	33.1	30.3
34.3	36.5	28.9
32.5	37.3	35
38	35.8	31.3
40.2	40	30
35	34.4	29.6
29.4	30	20.7
41.2	41.5	35.6
38.5	36.2	31.1
39.6	38.2	33.2
34.7	32.8	29
36.4	38.2	30.5
34.2	36.5	29.2
35.2	35.7	33.1
39	39	28.7
40.4	39	30.2
33.8	33	32.7
41.6	39	26.3
36.6	33.6	32.3
42.1	39.5	29.2
43.3	37.3	29
29.5	38.2	38.1
41.5	38.2	26.8
41.8	36.5	26.3
44	40.4	33.9
41.6	44.4	36.3
38	36.3	26.7
39	38	36.6
35.3	39.5	40
36.4	34.2	28.6
39.4	36.6	31.2
41	39.6	36
35.9	35.2	23.1
32.4	37.7	36
28.5	42	52.8
41.4	38.4	28
34.5	36.7	43
29.9	35	30.4
34.3	35.5	38.2
39.3	36.3	31.2
43.3	41.6	33.1
35.2	37.6	33.7
42.5	37.2	30
32.6	41	40.8
46.3	43.5	35.7
43.2	40	27.2
39.2	35.2	31.8
42.2	43.5	33.9
35.3	34	31.3
29.9	38.4	38.8
33.6	33.6	31.2
42	38.2	35.6
32.3	32.8	26.6
42.4	40.1	37.5
36	34.2	25.4
31.3	36.2	37.7
36.2	32.2	25.7
39.5	40	39.7
39.5	34.5	37
38.2	37.2	30.2
40	41.2	35.2
40.6	39.5	31.6
45.7	40.5	34.3
43	36.4	43.2
49.8	41	59.4
41.6	40.2	37.2
36.3	43.9	36.8
31.1	32.9	33.5
36.5	36	23.7
44.6	42	40
35.6	36.2	41.5
34.8	35.2	28.6
38.5	34.5	35.8
38.4	36.5	43.4
47.7	37.4	33.4
38.8	38.5	31.1
41	35.2	36.7
37.2	34.6	22.6
30.6	34	34
37.1	33.4	33.8
31.6	35.2	28.5
44.7	40.8	33.7
40.6	40	36.7
38.7	39.7	33.7
NaN	37	33.2
43.5	42.6	42
34.5	36	30.2
40	42	36.4
37.2	33.4	24.9
40	36.6	36.5
34.5	38.5	35.5
39.1	35.8	36.5
45.6	40.2	44.7
36.6	34.2	30.7
38.5	38	31
36.1	36.7	33.3
36	36.5	30.4
36.8	36.8	36.5
35.8	34.6	30
36.9	33.4	26
39.8	35	30.5
40.3	39.8	24.5
38.6	37	28.3
34.1	33.3	26.1
35.8	38.9	31.6
38.8	35	27.9
41.7	39	29
40.5	37.5	33.1
35	36.5	33.1
44.6	38.5	29.5
38.4	32.4	22.6
30.8	32.5	36.5
41	36	20.3
40	37	29.4
41	38.8	45.1
35.5	35	34.6
44.2	42.7	32.5
31.2	33.1	26.4
31.3	39.8	38.2
42.9	42	30.3
32.6	37.7	29
NaN	40	30.8
35.6	34.7	26.7
45.6	41.2	43.7
33.8	35.3	41
33.1	32.4	26.7
34.2	36.7	26.5
50.7	42.3	30.6
41.5	36.5	29.3
39.5	35.8	28.2
41.8	35.6	33.6
37.6	36.9	29.3
37.3	35.2	27.2
36.6	39	36.4
37.4	35.5	28.3
39.7	38	25.8
37.9	36	33.8
38.5	36.5	27.9
40.8	37.3	38.5
34.5	38.7	36.9
32.3	32	27.4
32	34.8	32
38.4	32.5	29
33.1	34.2	26.6
40.4	41	39.4
41.7	42	37
46.2	41.3	38.6
42.6	39.2	36.4
35.6	33.6	27.6
43.5	42	43.1
31.2	34.2	33.3
35	33.6	21.5
38	35.8	29.9
42.9	44	38.5
36.9	35	27.7
40.4	35.5	29.4
33.8	36.4	33.5
36.2	35.5	26.8
36	37	31.6
37.4	31.4	26.4
39.6	36.6	24.7
38.6	36	25.7
44.6	40.5	33.8
36.3	34.3	31.4
34.5	33.3	30.5
39	38.5	31
36.1	34.8	32.2
39.9	38	32.6
33.5	36	34.5
41.9	36.3	31
39.9	35.8	34.1
42	39.9	28.6
31.9	34.9	26.5
39.4	37	36.5
37.6	36	30
37.5	37.8	34.5
37	33	28
41.3	38.3	36.2
42.7	41	34.6
36.1	33	24.9
31.9	34.8	33.5
35.8	37.2	33.3
35	38	28.3
37.6	34.5	36.1
41	42	42.2
37.3	34	31.5
40.7	44	45.9
37.2	33.6	30.7
42.6	37.4	25.2
46.1	40.7	28.5
36.2	34.1	27
41	40.5	28
38.5	34.6	27.4
40.3	38.4	33.9
33.2	33.7	33.4
37.9	36.2	29.8
41	39.4	29
37.5	35.7	30.6
37.2	38.5	32.8
42.5	37.3	34.6
42.9	37.3	25.8
41.3	40.6	38.7
42.3	37	26.6
39.6	38	30.3
41.1	38	29.3
36.4	35	27.6
36	38	35.5
37.7	37.5	37.5
40.7	33.5	46.2
