LegLength	ArmLength	ArmCirc
39.8	39.6	37.2
34.2	32	32.2
41	40.8	38.5
37.7	33	27
43.7	39.2	43
39.7	38	33.2
38.5	35	23.4
31.5	30.2	27.4
37.5	36	39.1
43.1	39.5	29.9
39	35.6	27.4
39.2	37.7	31.2
40.4	38.4	32.6
38.2	32.7	25.5
42	36.3	27.5
41.5	38.8	35.5
35.8	35.4	28.5
33.5	33.3	29
35	40	40.5
38.1	34	29.2
38.4	34.2	37.7
33	36.5	33.7
40.1	36.4	33.1
39.1	34.4	33.1
31.8	36	31.5
41.6	37.5	25.7
37.4	40	32.7
41.8	38	29.2
NaN	41.2	44.5
27.9	33.2	31
44.9	44	35
44.4	40.5	27.5
38	42.8	50
41.8	41.6	32.1
37.4	34.1	34.3
38.9	34.3	25.5
44.5	41.2	30.7
38.1	40.6	36.3
40.2	38.8	30
40.9	33	24
45.4	43.8	38
41	40	33.9
38.4	36.1	32.1
39	34.3	29.4
43.6	38	40.8
34.2	36	35
38.1	35	33
38.5	38.4	33
38.6	39.8	31
42.5	40.2	34.7
38.3	36	30.8
34.7	35	27
35.7	35.4	36
37.2	40.1	38.8
40.2	37	34.5
30.4	37	36.7
38	38	32.4
41	40	29.2
33.4	39	34.3
40	38.5	35.8
41	39.5	36.5
30.3	33.5	31.9
42.1	35.2	24.7
39.2	35.5	32
40.5	36.5	24.8
43.8	39.5	28.8
40	36.5	38.1
41.9	37.9	30.4
40.1	35	25.1
41.8	36.6	32.3
44.3	38.4	25.5
48.4	44.3	35.8
NaN	38.9	36.8
37.8	40.6	40.4
34.8	35.5	28.8
30.5	38.8	34.8
30.5	35	26
43.4	37.2	27
46.4	42	35.1
35.6	32.9	36.1
32.7	31.9	30
46.2	38.2	34.2
37.6	39	39.6
39.6	36.3	31.4
38	37.9	29.9
31.9	37.3	42.5
28.4	37	38.4
36.5	38.9	30.9
36.7	38.5	33.9
37.2	39.8	40
NaN	35	28.1
46.5	40.4	30.5
46	38.2	38.2
36.1	34.8	29.3
34.7	36	28.4
44	40.3	34.2
37.6	38.1	31.5
40.2	37.5	26.2
39.7	38	30.9
44.6	44.3	35
41.7	39.4	34
39.5	37.4	34.4
34.3	34.7	32.7
37.5	37	36
37.7	37.5	32
34.6	35.2	32.5
36	33.5	34.6
34.1	36	24
36.6	37.2	28.2
47.2	41.8	30.1
35.2	36.5	49.7
38.5	37.6	31.9
37.7	34.5	35
35	33	32.9
38.3	37.8	37.1
35	35.4	29.1
46.8	40	30.1
42.6	40.3	33.9
38.6	36.6	34.4
40.4	38	29
33	38.2	32.6
42.1	40	35.2
49.2	42.8	36.8
40.1	41.4	34.3
39.9	40.6	30.9
46.5	40.5	37
36.4	37.6	42.2
33	36.6	40.4
43.3	41.9	38.7
41.1	39	32.1
36.5	36.3	27.8
42.6	38.6	37.5
44.8	42.4	38.2
40.8	37.7	31.5
39.3	36	37.1
34	34.8	29.4
34	35.2	29
36.3	36.5	32.5
37.2	38.5	31.7
37.6	39.7	42.6
44.1	39.7	32
32.8	39.2	41.5
41.2	40	36.8
33.2	31	26.7
23.7	37.5	36.1
41.1	39.5	33.9
41.5	39	34.8
39	38	33.6
36.7	35.5	31.7
35.6	34.5	32.5
36.5	37.5	46.2
33.2	39	28.1
40	36	35
42	39.5	33.5
33.8	35	33.1
41	36.2	29.8
41.5	40.8	30
46.6	43	30.5
37	37	28.9
39.5	39.5	39
40.9	35.7	30.6
37.1	37.1	40.2
45	40.5	34.6
41.4	36.6	33.7
46.1	43	39.8
41.7	38.7	38.5
45.4	42	43.4
44.5	38	31.1
42.2	41.3	40.6
41	39	23.7
NaN	36	44.2
45.9	44	47.7
42.3	35.8	29.3
40.5	38.2	35
42.2	38	29
38.2	37.9	27.2
36.1	36.4	33.5
40.9	38	32.5
36.4	38.5	35.5
35.3	34.5	29.5
41.1	39.7	39.7
34.7	38	32.9
41.6	39	30.7
41.3	40.5	31.2
37	38	35.3
39.1	35	28
42.9	39.2	34
43	38.1	27.5
34.2	33.7	30.1
42	37.4	34.9
42.7	37.1	25.5
40.9	38.2	31.4
35.8	39.8	43.4
45	39.2	26.5
32.9	32.7	35.4
37.9	35.5	26.5
36.4	34.2	29.7
41.3	42	38.1
40	36.5	30.2
44.3	42.2	42.8
37.5	31.7	24.2
35.4	34.5	30.4
39.2	36.5	23.7
36.2	39.5	33.6
43.9	36.2	28.2
42.5	41	39.6
38.9	35.3	28
40	34.2	26.5
44	39	32.5
41.1	42.5	37
41.2	36.8	27.8
35	35.7	31.2
37	33.4	28.5
44.6	39	36.5
35.4	36	31.8
41.9	38.8	33
40.2	38.2	32.8
36.5	36.6	40.7
42.5	38.8	34.2
41.2	41	34.7
42.2	36.6	33.2
44.2	37.7	27.7
37.8	35	34
38.1	40	31.2
32.1	34.1	25.3
39.8	40	37.4
42.4	43.6	36.5
32.5	31	25.1
36.3	36.2	25.7
42.1	41	29.3
38.2	37.4	29.2
32.7	35	34.5
36.3	35.9	34
44.1	39.8	36
34.2	31.9	26
37.7	33.9	27.9
42	39.4	39.5
39.4	37.1	26
40	38.2	27.4
37	33.2	29.2
43.6	39.2	29.6
40.8	39.3	40.8
35	36	35.2
43.9	39	25.6
37.5	37	39.6
38.8	35.4	32.7
