LegLength	ArmLength	ArmCirc
36.1	33.5	32
44.5	42	39.5
42.9	39	29
39.6	37	30
35	34.4	35.4
37.1	37.6	36.7
39	35	25.3
43.8	38.6	32.1
38.7	40	33.6
37	42.4	40
32.5	32.5	29.6
40.2	40.5	50.7
33	37	37.3
34.1	35	32.2
33.2	38	30.3
35.3	33.2	26.3
35.5	34.4	28.5
36.2	39.5	38.3
40	38.1	23.5
41.8	37.7	34.2
35.6	36.6	37.8
35.2	36	26.7
34.5	31.3	25.1
38.1	35.5	28.4
37.2	33.3	23.5
NaN	36	42.4
35.4	36.5	NaN
36.2	37	32.5
42	38.8	27.2
35	37.4	38.3
40.5	39	26.8
37.8	39.3	34.7
NaN	35	28.6
43.3	36.8	27
39.5	35.5	24
34.9	38	37
37	34	28.4
36.2	36	30.8
38.4	38.8	34.6
38	41	44.2
40.2	38	28.6
38.6	36.3	33.6
39.2	36.5	23.9
39.9	38.2	29.8
43.5	42.2	33.5
49	41	29
43.1	41	29.5
44.2	43.3	31.6
35.2	32.5	30
36.1	37.3	35
37.2	40	34.5
34.6	35.2	27
34	38	34.3
38.4	37	27.8
40.5	41.5	35.6
35.2	34.1	31.1
41	37.2	32.9
36.1	35.5	28.5
36.7	35.6	25.8
37.5	40.2	36.2
37.2	38.8	30.6
44.1	38.3	31.9
41.9	37.3	32.5
38.6	34.6	36.3
36.9	35.6	31
37.4	36.5	32.5
33	35	31.9
38	36	29.2
42.2	39	33.9
35	42	41.1
37	36.1	36.1
35	39	29.2
42.5	39.6	34.7
36.1	36.2	30.9
36.3	31.9	27.6
32.9	39.3	33.3
36.5	34.1	29.9
41.4	42	34.8
38	34.5	27.2
34.3	32.5	30.3
37.5	33.4	27.1
42.5	37	27.5
34	35.2	31
39.5	34.6	31
40	37	29.9
32.2	33	34.2
34.5	40.5	37.5
34.7	34	22.9
36.7	39.3	35.4
40.9	38.7	37.5
40.4	38	33.1
34.3	36	30.8
41	38.5	37.7
40	39.5	32.7
33	32.8	35.2
36	37.5	33.8
39.1	33.9	29.6
46.2	41.6	35.1
39.3	36.5	41.4
36.1	37.3	35.8
31	33	34
31.5	35	32.5
37.8	38	37.3
NaN	NaN	NaN
30.5	NaN	39.3
40.1	38.3	39.9
35	34.5	32
45	41	34.9
41.2	37.2	31.2
41.9	37.3	35.5
41	35.7	35.4
37.7	32.7	30.8
43	42.5	33.3
39	39	35.6
33.2	34.1	31.5
36.5	37.7	34
38.2	38.4	46.6
40.7	38	27.8
44.3	39.4	33.1
46.3	41.1	30.3
34	36	39.9
31.6	36.7	35.9
35.4	36.9	31.5
43.6	39.8	23.6
35	36.5	30.4
34.4	34.4	30
35.5	39.3	37.5
41	42.2	43.5
43.2	39	39.3
39.9	37.6	35.4
33.6	34	37.3
37.2	39.6	32.9
41.8	40.8	29.2
40.4	37.3	25
39.4	40.7	40
35.4	35	35.8
29.9	35	29.4
40.5	36.8	28.9
38.2	35.3	34.4
40.5	36.8	32.1
34.9	34.5	29.1
37.2	33.3	22.7
43.2	40.5	36.6
43.1	38.5	34.5
42.6	41.8	37.6
44.1	42.5	40
NaN	41	48.4
38.3	34	32
42.2	39.7	32.7
33	35	33.3
40.8	36.4	30
42.4	42.4	37.8
37	37	32.8
31.6	29	26.3
36.3	40.6	28.6
41.5	40.9	31.4
27.9	35.5	29
42	38.2	33.3
36.2	39.8	39.5
NaN	NaN	NaN
39.6	37	31.2
43.9	38.8	41
38.9	40.5	31.7
41	41.2	42.2
33	36	35.5
38	43	37.6
40.4	34.8	31
32.3	33.3	28.5
38.5	37.4	32
36.5	35.2	29.9
41.7	36	29.8
35	39.8	39.6
37.9	37.1	24.5
41.7	40	33.7
34.5	34.5	31.7
29.1	32.4	23.6
36.5	39	28
37	36.6	36.4
38.1	38	36
40.1	34.2	33.4
36.4	36.7	30.6
38.7	33.9	23.8
38.6	42.5	43.5
33.9	39	31
32	39.2	32
36	37.5	27.6
42	36.3	33
38	36	27.2
30	34.4	31.4
40.6	37.6	28.5
36	37	27.5
33.9	36.5	26
35	35.2	31.8
46.9	39.5	34.9
38.7	36	33
44	37.7	31.8
36.1	35	30.6
36.7	37.5	36.2
31.6	32.8	33.4
37.5	35.4	29.6
38.3	36.6	28.8
32	33.4	30.6
40.4	37.3	27.3
39.4	38.1	31.4
47.2	45.5	38
35.5	33.2	29.5
34	35.5	32.2
36.2	35.7	32
43.5	41.1	37.7
34.9	34	25.1
36	38.2	35.7
45.6	44	36.7
29.5	32	28.8
41.2	34.3	29.7
46.7	40	30.3
38.8	38.1	26.6
26	32	38.8
44.2	39	29.6
32.3	33	36.4
NaN	36.5	33.7
NaN	39.6	30.5
45	38.8	30.8
37.5	37.5	41
39.4	37.5	32.5
38.5	35.5	33.4
36.5	36.6	29
34.5	35.2	29.8
42.2	40.6	39.3
40.7	40	28.6
41.3	38	29.9
35	35.9	29.8
39.4	39	30
32.3	32.3	31.4
37.1	37.4	45.2
43	38	32
39.7	35.5	34.5
41.5	39.1	37
40.5	38.8	36.7
32.6	36.7	33
42.8	40.6	40.2
35	34.6	22
44.2	39.2	28
29	39	34.2
41.6	40.4	28
42	41	41.5
45	39	38.1
35.5	37	32.6
38.5	34	26.6
35.8	39	42.7
40.4	38.4	37.5
41.7	38	25.2
37	37	29.8
37.3	34	32.7
40	34.5	30.1
40.1	36.8	25.4
39	35.4	25.5
37.4	41.4	37.1
42	40.2	42.1
44.9	42.3	37.4
29	32.8	28.7
NaN	35.5	39.2
40.1	42	45.3
30.2	36.5	31.6
29	38.5	32
44.5	38.3	33.2
44	42	33.1
32.2	36	37.5
41.6	37	33.2
37.6	33	26.5
36.6	35	28.9
41.5	39	29.5
44.2	41.2	39.5
31.2	36.4	40.2
40.2	34.3	30.5
36.9	35.4	38.3
47	38.4	33.1
40	38.6	35.1
32	34	34.5
34.7	33.7	28
35.5	34.2	28.1
41.6	40	31.1
38.7	35.4	32.7
42.3	40.1	33.7
31	34.2	31
43	40.7	37.9
34.3	37.1	30.4
43.5	40.7	35
37.6	36	29.6
41.2	37	33.1
43.3	40.5	36
36.5	35.5	29.6
42.6	40.2	33.8
41.7	38.5	34.1
38.7	32.9	28.4
35.8	38.3	28.5
34	37.4	45.5
32.7	35.5	28.6
34	34.5	25.2
35	38.4	29.9
31.5	38.5	35.6
40.5	38.5	25.9
34.4	37.5	35.4
39.5	37.4	33.1
33.2	33	27.8
42.2	40.2	38.3
46	38	40.1
42	39.8	37.9
36.5	37	32.9
42.8	41.5	30.4
42.5	40.5	34.3
36	37.2	32
39.7	38.4	39
40.5	37.5	30.1
39	36.5	33.6
39	36	31.3
41.4	42.5	40.2
38.9	41	37.5
40.2	35.4	27.5
42	40	46.1
41.6	34.5	27.2
40	37	27.6
36.5	33.5	29.2
43.6	42.5	36.2
46.9	41	37.5
46	40.8	39
36.1	34.2	27
40.8	37	27.9
43.8	41.5	34.1
40.6	38	37.5
33.1	33.4	25
40.9	35.9	28.5
30.4	37.8	39.1
44.1	38.8	28.7
38	37.5	33.6
45.5	38.5	34
39.7	39.2	35.6
39.5	36.2	24.5
28.8	36.3	31.7
39	38	37
36.1	35.3	32.7
39.3	36.7	34.5
41	38.2	27.6
NaN	35	25.1
35	37	29
37.6	37	26.6
40	36	26.8
38.4	34.2	28.6
42.5	39	42.6
49.6	41.4	28.6
38.9	38	31.5
40.2	36.2	34.3
42.5	36.3	29.2
40.6	39	29.5
30.1	33.1	25.5
42.7	39.5	37
39.5	37	28.8
34.5	35.2	24.4
37.4	37.6	33.8
32.5	37.2	31.3
42	41.5	28.6
42	39.7	31.5
43.5	38.5	33.8
37.1	34.4	29.5
40	43.5	37.6
41.4	37.3	29.1
31.2	38.3	36.7
33.1	34.5	34.7
38.7	39.4	34.4
39.6	37.6	35.1
37.5	37	33.1
27	34.2	33.5
34.1	35	29.4
44.8	37.4	31.9
38	37	28.8
34	39.5	32.2
34	32.5	26.6
44	42.2	31.4
NaN	NaN	48.6
37.7	36.7	36.3
38.2	38	33.2
46.1	42	38.4
35.3	37	29
41.4	39.3	32.4
42	39.7	34.5
34.3	39.1	35.5
40.3	40	33.8
28.5	35.6	33.7
44.2	42.6	36.1
41.4	37.5	34
39.4	39.6	36.3
33	34	25.4
41.6	37.8	29.6
38.3	37	31.6
38.3	41	37.6
34.2	32.8	25
33.9	32.9	21.6
38.1	35.4	28
36	37	31.6
47.5	42.7	31.3
38.7	40.4	23.2
42	44.2	38.2
27.3	36.5	33.6
41.5	41	29.7
47.7	42.4	30.6
36.4	36.1	29.9
37.2	34.8	29.7
39.2	37.5	29
32.5	37.2	43.9
43.3	38.2	34.6
32.6	33.9	32.8
31.1	33.6	30
43.9	41	31.4
33.3	36	32
37.2	34	26.1
38.5	41	31.5
40.9	35.3	25.8
41.5	36	33.1
30.2	33	26.8
44.6	40.2	31
39.2	40	32
36.2	38.5	34.1
40	37.5	30.2
32.8	37.5	30.7
37	33	28.6
44.5	42	43.7
38	36.6	30.9
38.6	37.7	29.4
47.7	42.4	34.8
44.7	38	26.5
44	38	27
45	39.5	31.8
39.4	37.7	36.4
34.3	37.4	38.9
39	37.6	30.1
24.2	36	35.1
39.8	40.8	40.1
39.3	35.2	36.3
31.8	34.4	23.9
45.2	37.2	30.7
38.2	37.9	38.2
38.5	35.2	25.7
39.8	40.6	31.5
28.2	33.6	28.7
38.3	39.5	40.9
36.6	37.7	36.2
39.6	39.2	29.2
39.2	37.5	32
28.4	40	43
38.4	34.7	29.4
40.9	39	31.5
41.7	38.6	42.3
35.7	33.7	27
40.4	37	31.8
37	36	21.2
38.6	34.7	31.5
45.7	44.4	34.9
35.5	36.2	30.8
33.5	33	33.4
37.6	37	38.3
40.5	38	27.7
47	43	37.3
40.5	40.2	49.5
42	35.5	35.5
40	41.4	37
28.4	32.4	25.7
41.3	35	27.8
47.8	43.5	44.2
42.5	35	48.6
39.3	37	29.6
48.2	44.6	36.5
42	41	35.5
38	38.3	30.6
40.4	39.6	30.8
37.9	37	30.2
42	38.6	26.5
36.4	40.7	39.2
31.3	34	29.1
39.3	33.5	21.2
40.4	36.2	28.7
34.8	36	41.4
38.8	36.4	31.3
40.1	39	31.2
39	36.2	30.5
35.4	34.9	37.7
36.7	34	22.2
29	35.1	30.7
32.4	35.3	33.7
44.7	39	39.7
37.4	34	27.8
42.3	42.7	37.2
40.4	39	34.5
42.9	41.3	38.6
42	39.2	36.6
27.8	32.3	32.7
42	38.8	35.6
35	34	26.9
32	37	33.9
40.2	36.1	33.4
37.6	34.8	31.6
31.4	35.5	31.1
45.9	42	44.4
35	35	30.3
38.4	35.7	30.7
35.5	35	40.5
39	38	31.7
43	37.5	31
39.5	35.6	41.7
40.6	37.4	37.5
44.1	43.4	36.6
44	39.5	30.6
39.2	34.2	27
37.1	35.4	27.7
33.1	37.3	37.8
43.5	44.9	38.2
34.7	35.3	36.1
41.8	36.7	33.8
31.2	35.5	31
NaN	NaN	37.2
40.1	40	31.9
39.3	35	23.5
34.3	33.3	35.6
47.7	38	32.8
41.1	39.5	31.4
38.3	38.2	32.7
38.7	37	36.5
41.6	40.2	28.7
38	40.2	44.8
35.5	39.6	33.4
39.9	35.5	31.1
38.3	37	28.8
33.4	35.2	29.6
30.6	40	36.1
44.1	36.6	32
37.5	34.7	32
41.4	41.6	41.4
42.5	39.1	38.5
41.8	39.5	38.2
35.1	34.6	28.9
40.6	36.5	25.4
33.8	33	28.1
32.2	35.5	31.4
36.8	41.5	44.1
33.8	34.3	34.9
41.2	35.6	29.6
46.2	44.2	33.3
38.5	41.2	41.8
39.3	38.5	34.3
36.2	35.2	35.5
43.4	38.6	30.2
36.7	34.1	34.5
41.5	36.6	35.9
36.8	35.5	34.2
43.1	40.8	28.8
35.8	33.9	26.6
41.2	38.6	31.7
36.5	38.4	32
40.9	42	35.6
42.1	38	29.8
41	42	35.6
35.6	38.7	30.9
41.6	35.8	28.2
