LegLength	ArmLength	ArmCirc
41.5	38.3	37.8
40.6	34.3	28.7
43	35.8	33.9
37.6	39	33
37.7	38	35.4
39.8	41.5	31
38.7	37.5	32.5
36.3	35.7	31.5
41.9	38.5	36
32	32.8	35.1
41.6	38.6	34.2
39.1	37	35.9
37.1	35.2	34.7
43.1	40	40.6
35.5	36.8	33
43.8	38.1	28
37.4	36	29.9
39	37.5	27.9
35.5	35	27.3
44.1	40.3	32.1
43.1	38	34.1
34.5	40.9	36.4
43.1	38	35.8
40.7	38.6	33.9
36.9	36.2	38.5
38	39.7	34.9
41.2	39.3	34
42.2	39	40.1
29.2	36.5	36
37.1	37	38.6
34.2	32.8	24.5
37.2	38	31
45.2	44.2	38.3
43.9	37.8	27.5
35.6	36	29.9
35.6	35.5	31.5
34.2	37.5	34.5
34.1	40	30.1
33.6	32.7	27.1
32.3	37.4	34.2
37.9	35	29.3
36	34	30.5
42.6	38.5	30.9
43.2	45	47
38.1	36	28.3
40.6	42	48.7
47	38.6	29.9
40.1	43	34
32	30	22.7
35	37.6	25.8
38.3	35.9	31.7
38.5	36.5	27.1
33.2	34.7	34
35.5	32.8	25
34	33.2	38.4
39.5	38.4	31.5
37.8	37.8	29.3
34.4	38	27.6
30.9	32.9	33.3
34.6	34.8	33.5
33.9	36	36.2
42.4	37.5	35.5
38.5	37.3	33
42	37.6	33.2
39.5	37	26.1
37.4	35	31.6
45	39.8	26.4
41.3	44	35.7
37.3	37.2	30.7
36.8	37.7	31.3
37.8	35.3	25.1
39.7	40.5	32.8
37	40	29.1
41.9	40.2	53.3
29.2	31.5	25.7
37.6	36.6	30.1
37.4	38.3	33
36	37.1	42.4
43.3	47.7	39.1
41.6	39	28.3
34.7	36.9	39.4
40.7	38.5	30.7
38.4	35.7	29.9
41.1	38.8	39.5
38.8	35.4	29.5
39.5	35	27.7
34.4	37.6	26.2
37	36	31.7
40.1	38	32
32.1	37	39.1
33	40	33.6
39.6	33.5	31.1
36.7	34.2	21.6
43.5	41	32.9
39.1	39	25.5
37	39.5	34.7
38.7	37.4	31
44.8	42.5	36
29.1	41.4	36.7
43.1	41	33.4
33.3	33.7	32.3
29.6	37.8	37.8
35	35	28.7
35	40.5	33.3
43	39	33.8
38.4	38.5	40.5
41.5	37.4	26.7
42	39	39
37.7	35.4	25.6
40.1	38	27.3
41.8	38.4	32.8
44.1	40.5	40.7
34.6	35.6	25.4
30.2	37.5	38
38.5	37	29.1
35	34	28.8
39.7	39.3	31.1
41.2	39.5	42
34.5	40.8	35.3
39.1	35	27.8
45	40.3	27.3
36.5	42.4	35.3
34.3	34	36.7
43.5	39	30.5
39	40.5	33.5
36.8	36	32.9
40.8	38.5	32.6
43.1	36.5	36.6
40.6	43.3	37.6
43	40.2	36
36.9	34.5	25
41.7	39.5	45.5
35.6	36.2	31.7
41	41	36.5
37.8	34.8	26.5
34.7	36	28.5
40.1	40.6	35.3
33.2	33.9	26.6
36	36	34.4
40	35	36.7
42.6	39.5	30.5
34.6	34.9	25.6
41	43.6	37.5
43.2	40.1	32.5
39	34	29.7
29.5	36	35
45.1	38.5	30.1
43	37	30.5
43.2	41.5	33.9
42.5	43	40.3
42.2	36.1	23.3
37.5	38.2	40.8
38.1	35	30.4
35	35.2	29.8
37.9	35.3	29.6
38	40.6	35
40	39	31.5
34.2	35	39.7
43.1	43.8	37.1
37.5	35.8	28.7
35.9	32.8	28.4
NaN	36	56.7
40.5	41	43.2
36.8	35	23.5
39.3	38.6	42
40.9	40.9	34.6
35.6	38	27.2
40.7	35.3	25.8
42.3	37.7	35.5
45.8	41.4	35.5
41.6	39.5	29.3
44.4	40.2	31.6
37.4	36	29.4
46.5	44	42
37.8	34.3	31.2
40.3	38.8	32.8
36	32.3	23.7
35.5	36	31.6
35.5	36.8	31.7
36.5	36.1	30.5
32.6	32.9	28.6
49.2	44	37.7
40	38	31.5
40	36.6	32.3
39.7	37.8	23
41.5	37.5	25.6
42.4	42	36.4
39.8	36	31.2
33.5	34	30.6
30.3	42.5	42
36.6	34.9	28.5
38.4	40	38.1
37.5	37.5	31.5
35.1	33.1	27.5
33	32	22.6
38.1	39.7	30.5
43.7	37.2	27.5
40	40	44.6
31.6	32.7	24.4
36.8	34	27.8
36	32.5	25.7
39.1	36	22.5
35.5	35.2	24.8
37.5	35.8	32.5
43	37	28
40	37	24.2
36.8	35.2	26.7
NaN	34.8	29.6
37	33.9	28.2
34	37.5	43
35	33.5	26.4
38	37.5	27.9
41.7	38.8	36.8
42.7	37	30.5
35.6	38.5	24.7
44.7	40.3	29.2
32.6	36.6	27.4
39.5	37.2	29.4
42.5	45.5	40
38.2	41.1	36.5
33.1	32	27.5
41.2	38.1	26.6
38.8	37.8	32
37.4	36.3	36.2
38	38	30.4
29.5	35.5	37.6
39.8	35.8	22.4
37.2	37.1	25.3
32.2	35.7	38
43.4	40.2	36.7
38.3	34.3	24.5
39.5	38.2	31
37.5	38	29.1
37.4	41.5	33.7
35.6	37	29.9
48.3	41.3	36.3
30.8	37	38
43.6	41.8	44.2
44.2	39.6	37.8
33.7	39.5	32.2
35.1	39.5	38.2
39.7	36.5	23.2
37.6	37.9	35.4
44.7	41.3	38.8
38.2	37.4	27.1
36	36.2	39.9
39.3	36	26
29.4	32	34.9
41.8	36.8	31.5
41.2	38.6	37.5
41	37.5	35.5
38.2	36.8	44.2
45.5	40.4	38.8
43.6	38.5	24.2
42.8	37.3	28.3
33.9	35.5	29.7
37.6	39	31.1
40	39	36.1
40.5	43.3	42
34.9	38.8	28
39.1	39.9	32.6
33.6	33	24.3
40.2	44.8	34.6
37	36.6	25.5
