LegLength	ArmLength	ArmCirc
45.4	39	44.6
39	35.7	27.4
44.4	41	36.5
41	39	36.1
40.5	37.2	30.3
41	39	49.2
46	39.2	42.4
34.7	36	34.3
41	39.8	26.6
40.8	38.7	30.3
40	38.4	42.3
39.7	39.8	31
43.1	40	32.5
39.9	38.2	34
39	37.4	35.6
32	33.6	25
34.7	34.8	26
43.6	40.8	28
37.1	35	27
44.5	41.6	30.9
34.3	40.7	32.3
36.5	33.3	32
38.6	35.6	31.5
47.8	41.3	44
32.9	34	25.6
38.6	38.2	29.7
37.5	35.6	32.2
34.2	34	27.7
38.7	38	30.6
30.7	32.2	34.5
40.6	38	30.5
34.2	36	29.4
28.6	34	34.9
45	39.4	33.2
38.3	34.6	35.4
37	37	31
39.4	41	34.9
38.5	35.5	26.5
38.8	35.3	33
39	39.2	32.8
36.4	38	35.2
40.2	37.4	41.6
40	35.3	28.2
32.1	37.6	45
43.6	41.5	37.5
33.5	35	30.1
NaN	36.5	23.9
39.7	37.5	37.8
38.6	36.5	31
37.5	37.5	32.6
39.3	36	36.1
44.1	41.8	36.5
40	38.4	32
41.1	40.5	32.2
34	35.2	30
34.5	34.7	27.6
41.5	43.5	35
44.3	42.7	31.9
38.5	35.9	27.5
41.3	36.7	37.5
42.5	39.2	32.8
42	38	38.3
38.9	38.4	32.4
32.5	32.7	30.5
41.2	37.1	33.3
39.3	36.2	22.6
35.2	37	40.3
36.4	37	31.8
33.2	40.8	35.8
41.2	37	27.2
37	34.8	27.4
35.4	36	36.5
36.4	34.8	27.8
38	35.4	26.9
43.8	38.5	32.7
36.8	39.5	41.5
43.9	41	36.1
41.2	38.1	27.2
36.6	36.8	35.4
42	38.5	24.4
42.4	37.2	28.1
39.7	38.4	36
34.8	34.7	26.5
37.8	35.4	29.7
37	38.2	37.5
38.8	38.3	39.2
35.4	35.8	34.5
40.2	39.1	45.4
39.7	40.7	37.6
40.5	38	35.5
41.5	37.5	31.5
37	35.3	29
39.8	32.9	21.1
42.3	36.5	32.5
42	39.5	33.9
37.2	42	40.4
31	32.9	27.2
38	38.7	34.8
50	47	35.2
38.3	35.7	28.8
37.4	32.5	22.7
39	38.6	32
35	36.7	25.8
44.2	38.8	35.8
38.2	36.8	34
40	38	40.2
42	37.4	33.8
42.5	40	35.1
41.4	37.3	39
40.5	35	32.4
35.3	36	28.7
37.9	38.5	30.7
42.4	41.2	36.6
40.4	34.8	25.6
39	37.8	36.4
40.4	37	32.1
42.5	38.7	36.8
42.9	40	35.4
NaN	44	38.1
35.4	36.7	32
31.5	37	41
33.2	32.8	31.4
38.8	38	35.6
34	39.8	34.7
39.1	38.4	33.8
35	35.9	36.7
38.5	36	32.7
40	41.7	39.4
40	40.6	35
45.2	39.4	31.6
34.8	39	29.8
36.1	37	39.8
33.2	33	32.3
41.6	42.5	25.3
32.2	35.5	32.8
37.3	39.2	36.9
32.9	32.9	24.7
42.4	38	31.8
36	37	32.5
40.8	35	27.7
41	40.2	38
42.1	40.8	36.4
37.9	35.8	30.8
40.6	38.7	25.6
44.1	40	36.4
47.5	NaN	NaN
39.7	35	34.7
36	36	33.5
34.7	35	28.4
36	33	25.8
42	36.8	24.1
39.9	37	29.9
43.8	38	35.7
37.1	37.9	33.2
37	35.6	26.2
40.5	41.1	33.4
40.9	40.8	35.1
40	36.2	32.7
40.3	36.3	30.4
39.2	38.1	30.8
37.2	37	23.2
42.2	38	30.1
40.3	36.3	22
43.4	37	25.6
48.7	43.5	36.6
