LegLength	ArmLength	ArmCirc
38.6	36.5	32.2
35.6	35	27.1
40.1	38.2	30.5
39.5	37	30.8
33.3	34	30.6
40.9	36.2	33.7
46	44	30.1
35.2	33.6	28.1
37.5	43	36.5
34.4	33.3	25.7
45.7	40.6	38.7
40	44	36.7
33.3	33.9	32.1
36.8	35.8	26.8
33	36.2	32.6
43.8	36.7	32.2
43.4	39	29
36.5	33.8	26.1
37	35.2	32.7
41.5	38.9	32
36.4	38.5	30.8
38.4	36.7	30.5
35.5	35.4	38.3
43.6	40.5	29.9
35.1	34	28.2
36.7	33.8	31.8
36	38.7	32.6
37.6	39.8	32.1
41.6	38.5	44.6
34.2	34.4	18.6
38.4	34.8	27.5
36	34	27
33	34.5	36.5
35.6	34	30.2
38.7	36.3	37
36.5	35.6	34.7
35.3	35.7	29.3
36	34.5	33.4
43	38.4	29.5
33	35.5	28.5
28.7	40	41.3
42.5	36	33.7
40.7	34	34.4
37.6	35	32.2
38.7	36.5	27.7
36	35	30.2
37.2	35.7	30
41	38.6	41.6
37.8	39.8	28.7
41.5	41	32.8
40.1	36.6	26.5
46.3	41.9	35.4
35.3	40.2	26
36.2	37	39.5
40.8	38.5	35.4
42.3	38.6	32.8
38.4	35.6	29
35.5	36	30.9
38.7	37.5	39.5
40.1	37.1	28.7
35	36.5	32.7
37	40.1	34
38.9	37.5	30.6
37.7	35.5	27.2
33.3	33.3	28.5
38.5	37.1	26.5
42.6	36.3	33.4
41.5	40.5	46
38.1	35.8	34.1
36.9	35	30.2
42.4	36.6	32.9
34.2	37	40
38	41	30.9
38.3	38.1	32.8
42.7	39.6	39.3
37.6	37.5	31
41.2	37	27.9
43.1	41.3	30.9
42.1	37.7	29.9
30.2	35.6	35.6
38.3	37.6	31.3
45	41.9	31.1
34.2	32.4	27
46.3	40.7	44.6
36.7	35	33.2
39	41	39.6
39.8	41	33.9
38.1	37.2	37.1
36.2	33.8	38.1
36.1	39.8	38.6
37.2	36.9	32.1
38	36	32.7
40.5	37	30.4
36.1	33.5	27.3
40	40.3	33.4
47.6	44	33.4
40.8	39.5	29.8
35.8	32.5	26.5
36.2	34	26.3
38.8	38.2	37.3
35.9	35	38.6
33.6	35.7	31.8
45	42.2	34.7
45.1	39.5	31
44	40.2	35.8
40.2	36	32.9
34.7	34	33.1
40.1	38.4	37.5
37.1	37.6	29.3
NaN	37.5	33.4
36.3	32	35.7
42.1	43	38.6
40	37.8	37.5
39.9	35.7	30
30	35.5	35.4
46.9	40.5	41.9
33.6	36.8	31.1
35.7	40	42
42.6	43	32.6
38.7	36	31.7
35.3	33.8	25.5
41.3	38.6	25.2
38.2	36.8	22
40.5	37.8	26.6
42.2	35.5	24.8
43.5	38	35.6
38.3	37.3	36.5
41.5	36.6	36.2
34.2	38	40.2
36.8	37.1	28.8
37.3	37.8	27.8
26.1	35.7	45.3
33.8	35	32.6
39	35	22.3
37	39	42.9
NaN	40.2	48.1
39.6	41	42.2
41.2	40	41.8
44.4	40.5	29.1
34.4	36.4	33
41.5	37	37.2
35.4	36.2	50.5
35.4	34.7	35
42.8	37.3	26.1
42.8	38	30.2
38.6	34	31.9
NaN	41	36.8
34.3	32	19
38.8	35.5	34.7
33.8	34.7	28.9
37.6	36.3	35.3
39	40.7	42.6
34.7	38.5	40.5
40.6	38.3	26.4
46	41.5	36
38.8	39.1	36.5
37.9	40.5	40.3
39.9	39.7	44.3
41.1	38.5	32.5
40.2	41	32
40.4	37.3	35
41	41.2	39.5
34.4	33.5	35.1
39.8	35.3	28.1
37.8	39.5	36.1
35.1	34.7	30.1
36.2	40.2	40
37.9	33.6	25.8
38.2	38.7	32.5
44.1	40	34.4
42.6	39.6	32.1
41.2	36.4	33.6
39.5	39.5	33.2
39.1	36	30.6
36	37.6	46.6
36.3	35.3	28.9
36	39	30.1
44	36.2	35.4
40.5	39.3	48.7
39.7	38.8	28.7
39.1	39.1	30.8
36.3	34.3	31
40.7	39	32.1
39.4	43	35.4
33.6	32.6	28.5
45.5	39.1	27
37.3	37.3	30.6
37	32	21.8
47	42.6	36.6
40.3	42	41
39.6	38.4	28.6
35.8	35.4	40.4
39.5	39.5	29.7
38.4	35.2	31.2
25	35	34.7
35.5	36.2	36.8
38.3	35.3	29.6
41.6	39.2	39.6
NaN	40	34
35	35	22.9
42.6	38	36.5
38.8	39	37.2
41.5	41.2	35.5
42.4	38	25.5
41	41	31.6
41.3	37.5	26.3
39	41.3	33.2
43.8	44	47.5
42	37	30.5
38	35.4	25.8
44	42	35.5
38	35.5	29.7
38.2	40.5	33.8
39	37.7	22.1
38	36.8	34.6
42.9	38	33.5
37.7	36.9	35.6
36.2	39	30
34.7	37.6	32.7
40.5	41.6	36.1
42	37.7	40.2
43.5	40.6	36.5
35.5	34.1	32.9
34.3	33	31.1
33	33	25
32.1	36	28
38.2	38.4	36.6
38	37.2	26.4
38.2	36.1	28.5
46	40	34.6
34.1	35.4	27.2
35.6	35.5	32.8
37.2	40.1	31.7
NaN	31	22.7
40.2	37	31.1
33.4	35	30.5
38.4	37.5	31.3
35.1	32	28
37.8	38	30.7
42.7	42.5	39.5
40.9	38.1	35.8
43	37	28
31.5	36	33.2
37.6	37	34.9
42	36.9	30.2
31.6	35	37.5
38	34.6	27
37	38.4	29.5
49	45	49.7
38.1	38.3	28.7
43	38.2	28.7
40.4	36.6	34.2
38.8	36.5	32.5
40.3	36.8	34.6
38.5	38.9	31.4
32.2	35.2	41.3
35	36	29.5
36.1	42.3	41
33.4	35.1	31.7
41.8	37	32
35.2	35	28
40.1	37.7	35.9
37	37	27.5
33.7	36.9	41.7
31.4	34.8	20.8
45.1	40	32
36.2	33.2	27.2
41.6	39.2	36.7
37.5	37	30.2
38.4	35.1	30.2
41.4	38.7	37
45.9	44.5	31.1
37	39.5	33.6
41	38	31.3
34	40.2	35.4
43.8	37	41.4
41.6	38.6	30
35	33.5	29.6
44	38.7	34.3
38.5	40	31.9
27	35.7	33.3
40.7	38	31.7
37.6	35.7	33.1
35	34.8	31.7
40	36	37.7
34.5	34.2	30.4
40.5	40	34.4
39	40.2	34.5
39.6	38.2	34.8
42	41	25.9
43.8	43	35.7
36.7	36.6	27.6
46	41.7	31.3
43.1	38.2	34
38.5	36.7	25
37.6	39.7	34.7
44.4	38.5	27.4
28.3	36.4	30.5
33.1	37.3	35
36.2	37.6	34.2
38.2	36.5	38
36.5	35.5	35.2
40.3	43.1	33.5
40	38.1	30.6
36	38	30.4
38.7	37.2	36.9
35.2	35	31
36.3	37.4	36
35.8	35.4	30.8
45.4	41.4	46
40.4	39.4	33.3
42.6	40.7	31.9
42.4	37.8	38
44.4	41.3	34.3
35.5	35.5	29.9
36.8	34.8	29.2
48.3	41.7	36.7
31	39.4	36.2
41	38.9	32.6
33.2	36	35.3
41.6	41	34.6
32.4	36.7	36
42	41.8	33.5
40.5	41	34.2
32.5	36	24.1
39	35.8	28.8
37.3	37.9	31.5
35	33.2	31.4
38.1	37	31.3
38.5	37.5	34
32.8	33.2	31.2
41.6	36	31.1
40	42.5	32.2
33.5	32	26.1
41	39.9	40.6
38.5	39	30.6
40.4	37.5	27.4
39.2	37.2	29.4
45.3	42	31.7
38.1	35.9	28.7
34	38	35
40.2	37	25.4
43.3	40.2	41.4
40.6	34.4	29.2
37	38.1	21.1
37.2	33.9	34.8
46	38.2	27.8
41.7	39	32.5
40.3	40.2	29.5
38.2	38.5	23
32.7	33	28.5
35	35.8	28.6
39	38.2	32.4
42	41	41.4
24.6	37	48
42.1	40.5	33.7
43.5	38.6	31
40.2	40.4	33.8
40.2	39.5	29.4
40	36.5	29.8
38.7	37.2	36.1
37.5	34.7	27.5
42.3	37.1	32.7
29.5	34.4	34.4
42.4	38	34.9
39.1	35.4	32.7
38.5	35	31
35.7	36.2	30.2
27.5	32.7	25.5
36.7	38	39.6
42.1	42	37.9
34.5	34.7	36.2
34	31.8	27.7
37.9	37.9	41.4
42.1	41.5	38.6
38.4	38	32.1
32.1	34.4	32.4
40.2	36	34.5
27.6	36	39.5
34.5	34.5	33.1
40	36.9	26.6
38.3	NaN	NaN
42.7	40.7	39.5
38.6	36.4	34.4
41.4	37.1	32.2
47.1	40.5	35.1
41.5	37.5	29.2
34	36	26.3
43.8	37.6	30.1
34.9	37.2	30.2
36.4	32.7	30.2
34.6	36	21.9
42	41	35.4
34.2	34.7	32
40.1	35.9	29.2
40.8	42	32.4
