Date	Marriages
17/12/2007	184
18/12/2007	72
19/12/2007	67
20/12/2007	92
21/12/2007	174
22/12/2007	400
23/12/2007	430
24/12/2007	164
25/12/2007	41
26/12/2007	59
27/12/2007	139
28/12/2007	239
29/12/2007	361
30/12/2007	713
31/12/2007	441
