LegLength	ArmLength	ArmCirc
41.9	37.4	41.8
35.6	36	32.9
36	34.8	33.1
44	39.5	35.9
40.1	35.2	27.8
38.1	37.4	34.4
42.1	40	34.8
41.6	36	27.8
39.2	38	24.4
36.2	40.5	35.7
39	38	26.9
40.4	36.2	25
41.8	43	38.3
37.5	38.8	36.5
36.1	34	27.2
32.7	35.5	39.3
37.7	35.2	32.7
38	35.8	32.5
35	33.7	37.7
39.7	37.7	33.6
37.1	36.2	30.1
41	40.5	30.2
40.6	36.5	34.2
40.7	35.8	28
35.2	36	34.8
34.2	34.5	23.3
41.2	38.2	35
35.1	37.6	40.2
47	43.4	34.6
36	35	36.2
34	34.5	31
33.2	34	25
38.2	38	32.6
25.1	33.3	37.1
40.3	39.2	35.1
35.5	34	25.3
41.7	37.9	26
39.3	33.5	28.6
39.5	39	35.5
43.1	43.4	39.5
41.7	39.8	27.9
40	38.4	28.3
37.5	35.3	29.2
37.6	39.6	30.2
39.2	37.1	28
40.9	36.7	28.3
42.9	35.5	23.4
28.1	35.4	29.4
38.6	36	26.8
39.6	35.7	25.8
31.6	34.5	37
34.5	38	26.4
39.3	41.7	39.6
37.3	38	35.4
39	37	31.9
40	38.5	30.8
31	33.8	31.9
38.9	35.4	25.4
33.8	33	37.2
32.5	33	26.5
33.8	37.3	29.8
38.5	36.6	37.1
40.6	37.2	27.3
42.2	39.4	33.2
38.5	35.7	32.1
42.4	40.5	31.4
37	38	41.7
37	39	34.6
44.1	37.6	31.7
34.5	35.5	29.8
37.6	38.9	37.5
44.2	39	42.4
34.4	36.4	36.5
42.1	39.5	31.6
40	40.6	54
38	39.4	36.4
38.1	36.5	27.1
37.8	37.8	28
40.6	38	27.4
39	35.4	34.7
36	36	35.3
36.3	35.2	35.7
35.5	39.5	42.2
42	41.5	32.8
36.4	34	27.2
40.4	41	26.8
38.9	38.8	25.9
39.4	34	24.6
36.1	34.9	30.4
35	37	34.4
43	41.5	33.2
42.3	37	27.6
35.3	32	26.7
38	35.6	35
37.5	34.2	32.7
37	37.5	34.9
49.3	43	30.4
36.8	37	39.6
37.6	38.2	28.5
36.5	35.5	28.4
38	33.6	25
